                                                  
                                                                                                                                                                                                                                                                
 Results, basis VDZ-F12
         MRCIF1         MRCIF2         MRCIF3       AB
    -500.0869629   -500.0869628   -500.0869628   15.00
    -500.0638435   -500.0638435   -500.0638433   14.00
    -500.0638673   -500.0638673   -500.0638670   13.00
    -500.0639244   -500.0639244   -500.0639239   12.00
    -500.0639237   -500.0639237   -500.0639228   11.00
    -500.0639258   -500.0639257   -500.0639241   10.00
    -500.0639290   -500.0639290   -500.0639252    9.00
    -500.0639356   -500.0639356   -500.0639273    8.00
    -500.0639492   -500.0639491   -500.0639318    7.00
    -500.0639928   -500.0639928   -500.0639497    6.00
    -500.0639787   -500.0639787   -500.0638473    5.00
    -500.0640160   -500.0640159   -500.0638569    4.75
    -500.0640408   -500.0640406   -500.0638711    4.50
    -500.0639733   -500.0639732   -500.0638459    4.25
    -500.0637133   -500.0636493   -500.0636492    4.00
    -500.0633316   -500.0626736   -500.0626737    3.75
    -500.0624057   -500.0601303   -500.0601305    3.50
    -500.0603805   -500.0540270   -500.0540270    3.25
    -500.0562874   -500.0401790   -500.0401770    3.00
    -500.0479713   -500.0099744   -500.0099654    2.75
    -500.0272865   -499.9458589   -499.9458227    2.50
    -500.0195037   -499.9262029   -499.9261551    2.45
    -500.0095296   -499.9033144   -499.9032520    2.40
    -499.9967050   -499.8766162   -499.8765317    2.35
    -499.9801880   -499.8453482   -499.8452397    2.30
    -499.9589236   -499.8086020   -499.8084634    2.25
    -499.9315663   -499.7651991   -499.7650229    2.20
    -499.8964042   -499.7136100   -499.7133998    2.15
    -499.8512389   -499.6518873   -499.6516109    2.10
    -499.7932867   -499.5774361   -499.5771036    2.05
    -499.7189463   -499.4869262   -499.4865000    2.00
                                                  
