                                                  
                                                                                                                                                                                                                                                                
 Results, basis VDZ
         MRCI1          MRCI2          MRCI3        AB
    -499.9575894   -499.9575893   -499.9575893   15.00
    -499.9574703   -499.9574703   -499.9574701   14.00
    -499.9575924   -499.9575924   -499.9575922   13.00
    -499.9576002   -499.9576002   -499.9575999   12.00
    -499.9576354   -499.9576354   -499.9576348   11.00
    -499.9576359   -499.9576359   -499.9576348   10.00
    -499.9197294   -499.9197294   -499.9197270    9.00
    -499.9197359   -499.9197359   -499.9197306    8.00
    -499.9197439   -499.9197438   -499.9197308    7.00
    -499.9196852   -499.9196852   -499.9196286    6.00
    -499.9199005   -499.9199005   -499.9196749    5.00
    -499.9199559   -499.9199559   -499.9196882    4.75
    -499.9199725   -499.9199723   -499.9196909    4.50
    -499.9198717   -499.9198716   -499.9196464    4.25
    -499.9194936   -499.9194845   -499.9194844    4.00
    -499.9190156   -499.9183327   -499.9183324    3.75
    -499.9178608   -499.9154488   -499.9154482    3.50
    -499.9154332   -499.9088281   -499.9088269    3.25
    -499.9108002   -499.8943130   -499.8943099    3.00
    -499.9017254   -499.8629491   -499.8629398    2.75
    -499.8791628   -499.7958078   -499.7957746    2.50
    -499.8706881   -499.7750352   -499.7749921    2.45
    -499.8598554   -499.7507538   -499.7506980    2.40
    -499.8459598   -499.7223097   -499.7222376    2.35
    -499.8281093   -499.6888999   -499.6888071    2.30
    -499.8051790   -499.6495292   -499.6494104    2.25
    -499.7757507   -499.6029541   -499.6028023    2.20
    -499.7380387   -499.5476080   -499.5474154    2.15
    -499.6898064   -499.4815182   -499.4812756    2.10
    -499.6604843   -499.4413149   -499.4409613    2.05
    -499.5811366   -499.3444008   -499.3439497    2.00
                                                  
